,Location,Operator,Route,Type,Aboard,Fatalities,Ground,Year,Month,Day
,"Near Formoso do Aragala, Brazil",Military - Brazilian Air Force,Rio de Janeiro - Belem,Lockheed C-130E,21,21,0,1994,10,14
,"Near Cuito, Angola",Military - Angolan Air Force,,Mil Mi-8MTV (helicopter),22,22,0,1994,10,26
,"Batagaj, Russia",Yakutavia,,Antonov AN-2,19,7,0,1994,10,29
,"Near Ust'-Ilimsk, Russia",Aeronica,Yushno - Ust Ilimsk,Antonov AN-12BP,23,23,0,1994,10,29
,"Roselawn, Indiana",American Eagle,Indianapolis - Chicago,ATR-72-212,68,68,0,1994,10,31
,"Off Cozumel, Mexico",Transportes Aereos Pegaso,Cozumel - Chichen Itza,Bell 212,14,14,0,1994,11,01
,"Near Nabire, Indonesia",Trigana Air Service,Nabire - Obano,de Havilland Canada DHC-6 Twin Otter 100,4,4,0,1994,11,04
,"Saposa, Peru",SA Amazonica,Trujillo - Saposa,Yakovlev YAK-40,30,6,0,1994,11,05
,"Avenal, California",Ameriflight,Burbank - Oakland,Beechcraft C99,1,1,0,1994,11,16
,Papua New Guinea,Southwest Air,Selbang - Bolvovip,Britten Norman BN-2A Trislander,7,7,0,1994,11,22
,"Bridgeton, Missouri",Trans World Airlines / Private,,McDonnell Douglas DC-9-82 / Cessna 441,142,2,0,1994,11,22
,"Near Cuito, Angola",Military - Angolan Air Force,,Mil Mi-17 (helicopter),22,22,0,1994,11,25
,PacifiOcean,Philippine Air Lines,Manila - Cebu - Tokyo,Boeing B-747-200,293,1,0,1994,12,10
,"Elim, Alaksa",Air Taxi - Ryan Air Service,"Nome, AK - Koyuk, AK",Cessna 402C,5,5,0,1994,12,10
,"Morrisville, North Carolina",American Eagle,Greensboro - Raleigh,British Aerospace Jetstream 3201,20,15,0,1994,12,13
,"Cerro Aicha, Venezuela",Servivensa,,Douglas C-47A-10-DK,9,7,0,1994,12,17
,"Papua, New Guinea",Missionary Aviation Fellowship,Tabubil - Selbang,de Havilland Canada DHC-6 Twin Otter 200,28,28,0,1994,12,17
,"Coventry, England",Phoenix Aviation,East Midlands - Coventry,Boeing 737-2D6C,5,5,0,1994,12,21
,"Algiers Airport, Algeria",Air France,Alger - Paris,Airbus A300B2-1C,239,3,0,1994,12,26
,"Near Van, Turkey",Turkish Airlines (THY),Ankara - Van,Boeing B-737-4Y0,76,57,0,1994,12,29
